Name_链接,Name,DateModified,Size,Type
https://divvy-tripdata.s3.amazonaws.com/202004-divvy-tripdata.zip,202004-divvy-tripdata.zip,"Jun 1st 2020, 03:50:06 pm",3.32 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202005-divvy-tripdata.zip,202005-divvy-tripdata.zip,"Jun 1st 2020, 03:50:09 pm",7.99 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202006-divvy-tripdata.zip,202006-divvy-tripdata.zip,"Jul 6th 2020, 01:31:49 am",14.73 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202007-divvy-tripdata.zip,202007-divvy-tripdata.zip,"Aug 12th 2020, 03:10:49 am",23.62 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202008-divvy-tripdata.zip,202008-divvy-tripdata.zip,"Sep 4th 2020, 04:11:40 pm",27.86 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202009-divvy-tripdata.zip,202009-divvy-tripdata.zip,"Oct 13th 2020, 09:06:37 pm",24.34 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202010-divvy-tripdata.zip,202010-divvy-tripdata.zip,"Nov 4th 2020, 01:17:21 pm",17.86 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202011-divvy-tripdata.zip,202011-divvy-tripdata.zip,"Dec 4th 2020, 10:32:44 pm",11.67 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202012-divvy-tripdata.zip,202012-divvy-tripdata.zip,"Jan 5th 2021, 01:56:54 pm",4.84 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202101-divvy-tripdata.zip,202101-divvy-tripdata.zip,"Feb 4th 2021, 09:52:59 pm",3.66 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202102-divvy-tripdata.zip,202102-divvy-tripdata.zip,"Mar 10th 2021, 12:03:24 am",1.91 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202103-divvy-tripdata.zip,202103-divvy-tripdata.zip,"Apr 8th 2021, 03:28:53 pm",8.02 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202104-divvy-tripdata.zip,202104-divvy-tripdata.zip,"May 7th 2021, 03:52:05 pm",11.78 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202105-divvy-tripdata.zip,202105-divvy-tripdata.zip,"Jun 11th 2021, 06:10:18 pm",18.89 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202106-divvy-tripdata.zip,202106-divvy-tripdata.zip,"Jul 16th 2021, 12:22:05 am",26.52 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202107-divvy-tripdata.zip,202107-divvy-tripdata.zip,"Aug 14th 2021, 07:06:49 am",29.68 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202108-divvy-tripdata.zip,202108-divvy-tripdata.zip,"Sep 8th 2021, 07:10:46 pm",27.88 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202109-divvy-tripdata.zip,202109-divvy-tripdata.zip,"Oct 4th 2021, 06:21:39 pm",27.48 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202110-divvy-tripdata.zip,202110-divvy-tripdata.zip,"Nov 4th 2021, 07:58:36 pm",23.01 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202111-divvy-tripdata.zip,202111-divvy-tripdata.zip,"Dec 8th 2021, 08:19:04 pm",13.82 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202112-divvy-tripdata.zip,202112-divvy-tripdata.zip,"Jan 6th 2022, 04:18:45 pm",9.33 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202201-divvy-tripdata.zip,202201-divvy-tripdata.zip,"Feb 2nd 2022, 04:55:22 pm",3.84 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202202-divvy-tripdata.zip,202202-divvy-tripdata.zip,"Mar 2nd 2022, 08:22:47 pm",4.30 MB,ZIP file
https://divvy-tripdata.s3.amazonaws.com/202203-divvy-tripdata.zip,202203-divvy-tripdata.zip,"Apr 6th 2022, 06:07:41 pm",10.39 MB,ZIP file
