Name_链接,Name,DateModified,Size,Type
https://s3.amazonaws.com/hubway-data/201501-hubway-tripdata.zip,201501-hubway-tripdata.zip,"May 26th 2016, 02:22:57 pm",182 KB,ZIP file
https://s3.amazonaws.com/hubway-data/201502-hubway-tripdata.zip,201502-hubway-tripdata.zip,"May 26th 2016, 02:22:58 pm",94 KB,ZIP file
https://s3.amazonaws.com/hubway-data/201503-hubway-tripdata.zip,201503-hubway-tripdata.zip,"May 26th 2016, 02:22:59 pm",258 KB,ZIP file
https://s3.amazonaws.com/hubway-data/201504-hubway-tripdata.zip,201504-hubway-tripdata.zip,"May 26th 2016, 02:23:00 pm",1.50 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201505-hubway-tripdata.zip,201505-hubway-tripdata.zip,"May 26th 2016, 02:23:01 pm",4.14 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201506-hubway-tripdata.zip,201506-hubway-tripdata.zip,"May 26th 2016, 02:23:02 pm",4.03 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201507-hubway-tripdata.zip,201507-hubway-tripdata.zip,"May 26th 2016, 02:23:06 pm",4.89 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201508-hubway-tripdata.zip,201508-hubway-tripdata.zip,"May 26th 2016, 02:23:07 pm",4.45 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201509-hubway-tripdata.zip,201509-hubway-tripdata.zip,"May 26th 2016, 02:23:09 pm",4.21 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201510-hubway-tripdata.zip,201510-hubway-tripdata.zip,"May 26th 2016, 02:23:10 pm",3.60 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201511-hubway-tripdata.zip,201511-hubway-tripdata.zip,"May 26th 2016, 02:23:12 pm",2.53 MB,ZIP file
https://s3.amazonaws.com/hubway-data/201512-hubway-tripdata.zip,201512-hubway-tripdata.zip,"May 26th 2016, 02:23:13 pm",1.32 MB,ZIP file
